Naam;Omschrijving;Kode;URL;EC;BoekVerplicht;Lesuren;Video;Slides;Allen;BDAM;FICT;SE;IAT;GI-BE;GI-AN;GI-AD;GI-ON;GI-RE;BP-BE;BP-AN;BP-AD;BP-ON;BP-RE;IS-BE;IS-AN;IS-AD;IS-ON;IS-RE;SW-BE;SW-AN;SW-AD;SW-ON;SW-RE;HI-BE;HI-AN;HI-AD;HI-ON;HI-RE;aantal1;aantal2;aantal3;level;S-GI-BE;S-GI-AN;S-GI-AD;S-GI-ON;S-GI-RE;S-BP-BE;S-BP-AN;S-BP-AD;S-BP-ON;S-BP-RE;S-IS-BE;S-IS-AN;S-IS-AD;S-IS-ON;S-IS-RE;S-SW-BE;S-SW-AN;S-SW-AD;S-SW-ON;S-SW-RE;S-HI-BE;S-HI-AN;S-HI-AD;S-HI-ON;S-HI-RE
ipfit5;Project Forensisch ICT 5;5ljia52;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipfit5-project-forensisch-ict-5/SitePages/Home.aspx;6;;;;PDF;;;V;;;1;;;1;1;;;;;;;;;;;2;2;1;2;2;;;;;;4;4;0;2;1;;;1;1;;;;;;2;2;1;2;1;;;;;;;;;;
ipfit6;Project Forensisch ICT 6;y707h1d;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipfit6-project-forensisch-ict-6/SitePages/Home.aspx;6;;;;;;;V;;;;;;;;2;2;;;;;;;;;;2;3;;;;;;;;0;3;1;3;;;;;;1;1;;;;;;;;;;1;1;;;;;;;
ipfit7;Project Forensisch ICT 7;7xvksas;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipfit7-project-forensisch-ict-7/SitePages/Home.aspx;6;;;;PDF;;;V;;;;;;;;2;3;2;;;;3;;;2;;3;;;;;;;;;0;3;3;3;;;;;;1;2;1;;;;2;;;1;;2;;;;;;;;
ipfjuri;Juridisch Forenscisch Project;yd5v11j;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipfjuri-juridisch-forenscisch-project/SitePages/Home.aspx;6;J;;;PDF;;;V;;;1;1;;;;1;1;;;;;1;;2;;2;1;;;;;1;;;;7;2;0;2;1;1;;;;1;1;;;;;1;;1;;1;1;;;;;1;;;
ipfnet;Project Netwerkonderzoek;n67f37j;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipfnet-project-netwerkonderzoek/SitePages/Home.aspx;6;J;;;;;;V;;;;;;;;;1;;;;2;2;2;;;2;2;2;;;;;;;;1;6;0;2;;;;;;;1;;;;1;1;1;;;1;1;1;;;;;;;
ipmedt2;Project Interactie-technologie 2;x5xp2ho;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipmedt2-project-interactie-technologie-2/SitePages/Home.aspx;6;;;no access;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ipmedt3;Project Interactie-technologie 3;g1ki21w;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipmedt3-project-interactie-technologie-3/SitePages/Home.aspx;6;;;MS/YT;PPT;;;;;V;;;;1;2;;;;;;;;;;;;;1;;;;;;;;2;1;0;2;;;;;1;;;;;;;;;;;;;;;;;;;;
ipmedt4;Project Interactie-technologie 4;mlpansw;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipmedt4-project-interactie-technologie-4/SitePages/Home.aspx;6;;;;;;;;;V;;;2;;;;;;;;;;;;;2;;;;2;;;;;;0;3;0;2;;2;1;;;;;;;;;;;;;1;;;;1;;;;;
ipmedt5;Project Interactie-technologie 5;whwt920;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipmedt5-project-interactie-technologie-5/SitePages/Home.aspx;6;;;;;;;;;V;;;;;2;;;;;;;;;;;;;;;2;;;;1;1;2;2;0;2;;;;;1;;;;;;;;;;;;;;;1;;;;;
ipmedth;Hoofdfaseproject Interactie-technologie ;ik80bgm;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipmedth-hoofdfaseproject-interactie-technologie/SitePages/Home.aspx;9;;;;PDF;;;;;V;;2;;3;3;;;;;;;;;;;;1;;1;3;;;;;;2;1;3;3;;1;;2;2;;;;;;;;;;;;;;1;2;;;;;
